,Unnamed: 0,Unnamed: 0.1,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Entertainment,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
472,472,472,3a7035d0-8cb3-4175-8bd4-228dcce1aa37,92,Group,Scarborough,43.78514509,-79.18448262,unemployed,42748.3,31,7,131,34,23,14,5,21,2,0,0,33576.59
497,497,497,f1ba89fd-6ee4-4a41-961f-c839ae559e42,47,Group,Scarborough,43.77219582,-79.30435842,parttime,32748.1,144,7,139,19,14,7,0,0,0,0,0,29616.25
522,522,522,662c5c54-b564-4506-865e-7e01d667d272,54,Group,Scarborough,43.7753581,-79.29209732,parttime,34853.05,136,7,5,28,13,9,0,0,0,7,0,17364.47
524,524,524,ca8ea544-649e-4ea1-86ed-bf1aecddcfc0,34,Group,Scarborough,43.77579457,-79.1852325,fulltime,52138,145,7,12,41,15,8,1,0,0,7,0,34529.66
528,528,528,04fbd422-5a84-4ec2-997a-35ab85f71b22,39,Group,Scarborough,43.80661381,-79.32381079,fulltime,31933,144,6,9,33,27,9,5,0,0,0,0,15838.45
535,535,535,e1f715f4-1508-4a8e-ac33-54302a97ccca,41,Group,Scarborough,43.79986745,-79.22497261,fulltime,33446,146,7,9,27,21,10,6,0,1,0,0,17218.02347
542,542,542,9408adcf-0789-477a-aa70-3e8f1ebfbad1,33,Group,Scarborough,43.78617261,-79.31373184,fulltime,69424,158,6,18,48,18,10,0,12,0,7,0,51590.71
545,545,545,c8dbd486-3fd3-45d7-9aa5-90b98824af81,46,Group,Scarborough,43.72997484,-79.25769011,fulltime,36038.2,149,7,7,27,13,10,5,0,0,0,0,18395.56
549,549,549,c223f9b6-dd55-497d-b596-412422729f4a,64,Group,Scarborough,43.73816013,-79.24270138,fulltime,59173.6,146,7,7,27,17,9,0,11,0,7,0,42841.5
564,564,564,f0e974a8-c5a4-445e-95c2-74cb9ac50d83,41,Group,Scarborough,43.81870414,-79.27973359,fulltime,36544,143,6,14,36,21,8,5,13,0,0,0,18168.18
568,568,568,ad098b91-ff4e-463c-b0f7-7a0d7a09fc92,22,Group,Scarborough,43.78311931,-79.20614894,parttime,17628.93,150,6,14,19,14,8,0,0,0,7,0,15467.03
575,575,575,b1f90344-2baf-4bcf-a54b-5cf3ed7dff4d,35,Group,Scarborough,43.73632213,-79.24500544,fulltime,46498,157,6,13,34,27,8,0,0,0,7,0,28932.61
579,579,579,b5345f07-a63c-4fd3-b8eb-68acce3f013e,75,Group,Scarborough,43.73949689,-79.27256623,unemployed,30398.9,145,7,6,28,14,11,0,0,0,7,0,15047.5
584,584,584,b5153e8d-5518-4146-b518-f030069d1701,32,Group,Scarborough,43.78240117,-79.30555434,fulltime,21447.36,141,7,12,28,15,9,5,0,3,0,0,12624.75086
595,595,595,415b7a93-8f62-4757-ba52-2a2d9976f44a,35,Group,Scarborough,43.81028447,-79.20752042,fulltime,85723,145,6,16,33,16,8,6,0,0,0,0,72015.01
603,603,603,38291fce-3f09-4400-a4b6-66bd24cce636,48,Group,Scarborough,43.78188042,-79.24639103,parttime,32715.1,143,7,8,26,14,7,5,0,7,0,0,26810.57
608,608,608,09572a12-cf75-48fc-828e-7c02b10bff9e,48,Group,Scarborough,43.80666776,-79.33489507,parttime,28202.9,147,7,9,27,18,7,6,0,7,0,0,22294.5
611,611,611,d7733a1f-6f89-4502-9d7c-c333bfa6bc75,72,Group,Scarborough,43.72812329,-79.24964592,parttime,28813.5,146,7,138,41,18,10,5,11,2,0,0,16135.40587
616,616,616,2fdf3267-3a7c-44d3-9a4b-d5175c8a4ea7,64,Group,Scarborough,43.81847914,-79.31796168,parttime,32369.35,142,6,7,27,18,9,0,0,0,7,0,16066.03
618,618,618,27b90597-2888-4e51-83f5-6f7b3c4935c8,61,Group,Scarborough,43.80086223,-79.22837089,fulltime,35746.6,146,5,13,39,16,8,5,0,2,0,0,19040.98224
622,622,622,32328483-3b5a-4f3a-84ae-1dc609df4ed7,87,Group,Scarborough,43.82488091,-79.22676327,unemployed,34697.6,35,7,4,33,23,9,0,7,0,7,0,16006.09
624,624,624,152cde32-ccad-4f7b-b9b8-1e6c313197b3,47,Group,Scarborough,43.69962019,-79.26360585,fulltime,57134,151,5,142,25,19,9,0,0,0,0,0,57029.96
627,627,627,89d30102-c548-4ba8-a399-5fdc9ea78570,73,Group,Scarborough,43.76682973,-79.25656373,unemployed,27804,143,6,13,39,13,8,6,0,2,0,0,15973.57166
638,638,638,10b79ed9-400d-46a4-9683-217115a01e34,47,Group,Scarborough,43.77783378,-79.15067971,unemployed,30000,112,0,9,0,0,0,0,0,6,0,0,2958.536063
645,645,645,c40cf7c8-2838-4295-a623-5e305ec67782,59,Group,Scarborough,43.74094905,-79.23607612,fulltime,64078,143,6,6,33,18,9,0,0,0,7,0,49418.43
655,655,655,48682188-8d71-4637-bb7a-3876eb5d8e94,41,Group,Scarborough,43.79177618,-79.14809538,fulltime,135290.1,150,8,11,19,13,12,1,0,0,0,0,148386.21
656,656,656,f706174a-c59c-4a3d-bd75-65d266d38551,58,Group,Scarborough,43.80884707,-79.2565825,parttime,32756.6,149,6,7,34,21,7,1,0,0,7,0,15982.02
658,658,658,a84d830d-d6cf-49c8-a181-4cfcd84c1edf,24,Group,Scarborough,43.81758303,-79.21187562,parttime,17095.98,150,7,145,41,25,8,2,0,4,7,0,11733.57432
671,671,671,a438fc95-e1e2-4b97-b26f-80ccb3fd0f88,36,Group,Scarborough,43.79301781,-79.15042945,fulltime,143640,155,5,14,34,17,13,1,0,0,7,0,138031.56
675,675,675,ec9f0a07-fd36-4c19-aecc-cc2cca422979,26,Group,Scarborough,43.79441666,-79.31996574,parttime,14176.47,150,6,12,28,13,10,5,0,5,0,0,9220.309757
680,680,680,ed977dc2-cdf6-4c71-81e5-514f9502489b,67,Group,Scarborough,43.69613699,-79.28235348,fulltime,42190.45,144,7,6,35,20,8,5,0,0,0,0,23890.04
689,689,689,5764ac32-ae23-4713-954e-9501e2f8495e,66,Group,Scarborough,43.74999212,-79.20214616,fulltime,45573.4,145,5,8,27,13,11,1,0,0,7,0,26985.17
693,693,693,60218678-3751-459c-a779-c8450f4641e3,25,Group,Scarborough,43.69054866,-79.26295034,parttime,15527.82,153,6,14,30,17,7,5,0,6,0,0,10314.38868
707,707,707,bcc1a6ea-675d-4b80-9a75-42817bd6e94b,63,Group,Scarborough,43.72642935,-79.2679799,parttime,25537.9,149,6,7,33,10,9,6,0,2,0,0,14011.74693
710,710,710,4f67ef55-06f6-4555-8acb-a51530ccbd61,82,Group,Scarborough,43.71990478,-79.25589597,unemployed,18538.1,137,7,4,27,20,9,0,7,0,7,0,9812.05
727,727,727,1c7f221b-05e3-4fa5-b701-118af43a8dfb,25,Group,Scarborough,43.79184346,-79.23728382,unemployed,30000,119,0,11,0,0,0,0,0,6,0,0,1595.805836
728,728,728,c0c01754-9809-4d2e-91db-d8df7399f6c7,78,Group,Scarborough,43.72366238,-79.2712371,unemployed,22022,142,5,10,33,20,9,6,20,4,0,0,15455.99483
730,730,730,25a95473-6f4b-4d6f-aa7f-417257e48231,44,Group,Scarborough,43.79564919,-79.28019586,fulltime,36638.8,146,6,9,41,13,7,5,10,1,0,0,18379.49822
734,734,734,c4b6d564-d498-4f59-82e6-9c167d0c0790,29,Group,Scarborough,43.75510196,-79.18027051,fulltime,34347.39,148,7,12,28,17,9,5,0,0,0,0,21631.36
738,738,738,d3af0190-1472-4e7c-9aff-83b55af112c3,81,Group,Scarborough,43.81870414,-79.27973359,unemployed,21005.6,132,6,137,40,26,10,6,7,4,0,0,14718.58538
739,739,739,02c7de08-0cdd-4eb9-9d0a-67ef9900dea2,40,Group,Scarborough,43.78210071,-79.2907139,unemployed,67985,152,7,9,20,19,8,5,13,7,0,0,68149.61
744,744,744,37de38f2-864a-45d3-b7ef-b6a30ed709a3,91,Group,Scarborough,43.71107314,-79.25393613,unemployed,23668.4,35,7,4,34,14,8,1,7,0,7,0,11880.75
759,759,759,333c7829-3aba-42a0-adbc-3ec33085f5f0,43,Group,Scarborough,43.80658258,-79.2263085,fulltime,36840.1,153,7,8,34,19,8,5,13,2,0,0,20131.5198
760,760,760,75007954-15ce-42e0-88ba-270e848bebb5,30,Group,Scarborough,43.79879918,-79.30874877,fulltime,21305.46,152,6,15,34,13,8,0,0,0,7,0,10694.27
761,761,761,ef9d3869-9683-4d78-af99-d66fce236639,37,Group,Scarborough,43.78238773,-79.30087419,fulltime,27867,140,7,9,26,26,8,6,0,7,0,0,17471.78
773,773,773,0e45a48d-2f4b-41da-82bf-e971ecea725c,30,Group,Scarborough,43.78600527,-79.13175392,fulltime,36497.01,147,6,12,27,15,9,5,0,0,0,0,19934.26
784,784,784,5904e867-e9a9-4e0b-b4e8-bb106ffaa15a,50,Group,Scarborough,43.75250863,-79.19110809,fulltime,50476.8,151,6,7,33,18,7,0,0,0,7,0,31726.81
794,794,794,f9402e15-b92e-4a9f-9474-823998b8bd98,23,Group,Scarborough,43.78071506,-79.15392128,fulltime,20740.5,142,6,12,27,19,8,0,0,0,7,0,10391.7
799,799,799,fcc6d051-0374-4b4f-b322-2f67f25ab480,39,Group,Scarborough,43.74242648,-79.23196987,fulltime,53611,141,6,7,26,14,9,5,14,7,0,0,48311.3
801,801,801,88164695-0edc-4bb3-9e7a-28464217c0bc,28,Group,Scarborough,43.70802489,-79.27536466,fulltime,26402.31,149,7,152,34,12,10,5,0,4,0,0,16574.33403
832,832,832,79517cab-37bc-448a-b630-92b1fee8f962,54,Group,Scarborough,43.79521166,-79.16133468,fulltime,61602.05,149,8,7,33,19,11,5,0,0,0,0,46233
837,837,837,126285d4-ebfb-4f22-8537-d93870ba0b98,64,Group,Scarborough,43.70805163,-79.25415482,parttime,33960.6,153,6,7,33,16,8,0,0,0,7,0,16788.46
838,838,838,eb5479d0-9007-4308-919b-19a479610782,51,Group,Scarborough,43.79240412,-79.24190235,fulltime,68528.5,142,6,7,27,19,9,5,0,0,0,0,54456.53
839,839,839,5fd6d0e5-e516-4fca-94fe-5a47920933b3,62,Group,Scarborough,43.73997577,-79.23950097,parttime,26036.65,153,4,6,25,16,9,6,0,7,0,0,20381.37
858,858,858,c271e449-5868-47e9-aacc-f3905f57de22,28,Group,Scarborough,43.76765838,-79.21153816,unemployed,24521.97,151,6,141,41,22,8,5,14,6,0,0,7468.3187
863,863,863,76992340-e20e-4874-932f-011d238cd735,37,Group,Scarborough,43.77372038,-79.19216826,fulltime,48457,146,6,8,34,14,9,1,0,0,7,0,29359.04
865,865,865,9fb77965-8789-4fa2-bc9f-bb7bbb46720f,72,Group,Scarborough,43.71413341,-79.2504589,fulltime,76860.7,143,7,13,39,25,10,5,0,0,0,0,66336.67
893,893,893,e1c6dd73-3cd6-4176-89dc-ff2bb351b453,31,Group,Scarborough,43.75997451,-79.18037046,fulltime,23255.76,153,7,12,33,16,9,5,9,3,0,0,13191.58502
898,898,898,46f969b4-206b-4676-89cb-658df61e38bc,42,Group,Scarborough,43.70266823,-79.27313114,fulltime,44051.7,147,6,8,33,25,9,0,0,0,7,0,25498.56
903,903,903,40219c90-4bc8-4a47-8293-8f2d4857f9da,52,Group,Scarborough,43.80891455,-79.20907461,fulltime,81663.8,148,7,6,28,12,9,0,0,0,7,0,70291.15
912,912,912,79badf3d-5570-481f-a886-b40bf3bd08a1,44,Group,Scarborough,43.78353126,-79.13778705,fulltime,59746.5,144,7,9,34,15,10,1,0,0,7,0,43137.12
916,916,916,e992244a-f72a-4868-baa8-958e8823cd33,36,Group,Scarborough,43.76324917,-79.22023048,fulltime,69560,152,5,8,34,13,7,6,0,0,0,0,54096.2
919,919,919,aa589a42-57f9-408b-ba33-3564b82bf6fd,35,Group,Scarborough,43.78677223,-79.14703742,fulltime,113882,156,7,13,34,11,8,0,0,0,7,0,105526.91
925,925,925,6729a1dc-ea25-4376-bc60-0cc2e94823e3,79,Group,Scarborough,43.67717039,-79.2787172,unemployed,33194.7,139,7,135,35,21,9,0,21,0,7,0,16979.4
930,930,930,0a33c4a5-b288-49d7-962d-5521dd061e87,90,Group,Scarborough,43.77438444,-79.29342035,unemployed,17957.8,34,5,11,41,12,9,6,7,4,0,0,10868.21005
939,939,939,257aba1f-a553-4ec5-af58-6608c260d28b,48,Group,Scarborough,43.75869959,-79.21581283,parttime,26546.3,144,6,9,27,16,8,5,12,4,0,0,16111.21355
951,951,951,709699bf-beb3-453c-91aa-8862ef819dc7,46,Group,Scarborough,43.81228257,-79.23297863,parttime,28570.3,151,4,8,34,19,8,5,0,0,0,0,14911
982,982,982,0ca5368b-fae9-4a94-8313-a7b7b22c4276,45,Group,Scarborough,43.79689307,-79.29316754,parttime,33289.3,150,6,144,34,18,10,6,12,2,0,0,19069.30755
988,988,988,0fa03a4e-4473-4446-ae79-2c73a0559acf,22,Group,Scarborough,43.76844832,-79.30527439,fulltime,30225.36,150,6,14,28,14,8,5,0,2,0,0,14903.6161
989,989,989,3289a2ea-69eb-4cb5-9197-a4aab7f17724,55,Group,Scarborough,43.79116363,-79.17964661,fulltime,43526.35,143,7,5,34,15,8,6,0,0,0,0,21409.28
1000,1000,1000,f6fa6c9a-7510-4033-9155-21efb43be3c8,51,Group,Scarborough,43.7632386,-79.30556049,fulltime,121027.15,148,7,5,27,24,11,5,13,0,0,0,109687.8
1001,1001,1001,2c17c444-ab9d-43d0-8e84-00f7df3da360,60,Group,Scarborough,43.7333204,-79.22239246,parttime,27177.95,146,5,6,34,25,6,0,0,0,7,0,13404.91
1005,1005,1005,53a6f7de-a3ac-43a5-a631-07943c84aa2e,55,Group,Scarborough,43.72664722,-79.27500343,fulltime,43073.25,147,7,13,33,18,9,0,12,0,7,0,23523.51
1019,1019,1019,da4a8749-8481-4718-91d9-ed6dd11830ab,30,Group,Scarborough,43.8167604,-79.20283496,fulltime,29662.05,150,7,145,41,17,7,0,0,0,7,0,14839.56
1027,1027,1027,70c20b5e-f9a7-471b-8f54-c2892da39b2e,24,Group,Scarborough,43.79296731,-79.13514614,parttime,18865.44,153,6,12,40,15,9,0,13,1,7,0,9416.53
1035,1035,1035,a0c85aaa-8c3d-4984-a061-a0383a12dbac,55,Group,Scarborough,43.73997577,-79.23950097,parttime,25359.8,149,7,143,32,11,8,0,0,0,7,0,22871.29
1036,1036,1036,5da484a8-f7c4-46ff-8c77-2035d418bdf7,40,Group,Scarborough,43.80412526,-79.32400029,fulltime,43115,140,5,16,40,20,8,5,0,1,0,0,22462.94021
1055,1055,1055,6a8af318-8c08-4eaf-99dd-c10a0e026124,52,Group,Scarborough,43.75375627,-79.19778336,fulltime,63037.25,140,6,9,27,17,11,5,0,0,0,0,47261
1060,1060,1060,8d702741-aceb-4b45-8475-f620b07ae08a,28,Group,Scarborough,43.77373987,-79.25555255,parttime,18616.95,154,7,14,28,15,8,5,0,5,0,0,11373.97401
1079,1079,1079,b2bde679-540d-485f-a146-2772952ce821,33,Group,Scarborough,43.71192025,-79.25573631,unemployed,87176,144,6,15,35,14,9,5,0,0,0,0,78420.69
1080,1080,1080,a7eeb324-8673-42fb-816d-6f970e2eea15,24,Group,Scarborough,43.81342213,-79.21630622,parttime,9669.33,145,6,13,27,25,9,5,0,6,0,0,7974.883785
1082,1082,1082,0bb4b260-d12c-423f-adbd-dd900f1c1e3d,94,Group,Scarborough,43.76493571,-79.2146923,unemployed,23130.1,32,5,0,28,17,9,5,6,1,0,0,11196.84013
1091,1091,1091,f165c531-89fd-4084-922f-5824da7d96e1,43,Group,Scarborough,43.76735541,-79.3008374,fulltime,77341,142,6,12,14,13,7,1,0,0,7,0,83718.85
1127,1127,1127,345deb32-b0f7-44e2-9e33-1901e0571e3e,55,Group,Scarborough,43.74057979,-79.27637738,unemployed,30000,115,0,7,0,0,0,0,0,6,0,0,2405.586128
1133,1133,1133,39adb926-83d1-481c-a05b-9f424ee1aee9,19,Group,Scarborough,43.7483961,-79.23346919,unemployed,30000,113,0,12,0,0,0,0,0,0,0,0,153.81
1137,1137,1137,3860c5c7-cc46-4012-bb9d-c2fd99f42081,59,Group,Scarborough,43.78768329,-79.2547377,fulltime,90846.55,146,7,7,33,16,11,5,0,0,0,0,85724.6
1140,1140,1140,10a5d608-8845-4e0b-8e27-322bfd00afe0,39,Group,Scarborough,43.74284528,-79.29337179,fulltime,67300,143,6,9,39,22,8,0,0,0,7,0,51286.43
1149,1149,1149,8655d5b2-cf64-4b5a-8405-a82d17952558,62,Group,Scarborough,43.76158215,-79.30685877,fulltime,67374.95,141,7,6,28,15,9,5,0,0,0,0,54122.11
1152,1152,1152,b67fd028-cb35-4948-830f-d4aa9174ffa7,26,Group,Scarborough,43.74039105,-79.25734086,parttime,9619.5,148,5,139,42,22,7,5,0,6,0,0,9122.433687
1171,1171,1171,f5d7c2a8-e672-4e6e-8c5c-ab021b993b6e,77,Group,Scarborough,43.7701643,-79.2196723,unemployed,24852.8,133,6,3,33,14,9,0,18,0,7,0,12387.6
1174,1174,1174,a5e19d88-7bc2-4e31-83e1-fff708e155fd,61,Group,Scarborough,43.81385995,-79.23150216,parttime,28521.85,147,6,7,28,17,8,1,0,0,7,0,14288.85
1178,1178,1178,27ffceb6-68ae-4cb7-a1ab-e9aa6a46c12f,76,Group,Scarborough,43.76133907,-79.21507435,unemployed,11671.1,150,6,6,26,20,10,1,0,0,7,0,8572.08
1184,1184,1184,7d3b341f-1a42-4191-8bc6-5def059f354f,50,Group,Scarborough,43.70802676,-79.26262761,fulltime,43456.6,144,5,6,33,17,7,5,0,0,0,0,22102.25
1188,1188,1188,74e72a11-c44f-4c54-bb8b-16791f0e7fba,31,Group,Scarborough,43.79216735,-79.18084454,fulltime,27066.6,152,6,13,34,12,8,1,0,0,7,0,13487.36
